,CosZ,cfsirs,codsirs,year,month,day,hour,min,cfXL,codXL,cbase,ctop,cfopaquetsky,cfthintsky,cldthick,cftottsky,times
115,0.23657199999999998,1.0,7.44,2014,2,24,11,10,0.9958881579000001,6.0219733423,439.16666667,659.73844401,-9999.99,-9999.99,220.57177734,-9999.99,1393251000.0
116,0.240752,1.0,5.84,2014,2,24,11,11,0.9959967973999999,5.0435891606,455.83333333,662.23671468,-9999.99,-9999.99,206.40338135,-9999.99,1393251060.0
117,0.244928,1.0,3.52,2014,2,24,11,12,0.9953234606,3.1824321326,522.5,604.77648926,-9999.99,-9999.99,82.276489257,-9999.99,1393251120.0
118,0.249099,1.0,1.69,2014,2,24,11,13,0.9939209726,2.0038128326,470.0,589.78686523,-9999.99,-9999.99,119.78686523,-9999.99,1393251180.0
119,0.4192,1.0,1.45,2014,2,24,11,55,0.8962699822,3.2089997113999997,583.33333333,2661.6860079999997,-9999.99,-9999.99,2078.3526747,-9999.99,1393253700.0
120,0.423105,1.0,0.0,2014,2,24,11,56,-9999.99,0.0,590.0,2548.431071,-9999.99,-9999.99,1958.4310710000002,-9999.99,1393253760.0
121,0.427001,1.0,0.0,2014,2,24,11,57,-9999.99,0.0,590.0,2508.4587401999997,-9999.99,-9999.99,1918.4587402,-9999.99,1393253820.0
122,0.575576,0.78,-9999.99,2014,2,24,12,37,0.6898922759999999,5.6526273933,410.0,589.78686523,-9999.99,-9999.99,179.78686523,-9999.99,1393256220.0
123,0.579087,0.75,-9999.99,2014,2,24,12,38,0.7463059786,7.1719810358,381.25,556.06021881,-9999.99,-9999.99,174.81021881,-9999.99,1393256280.0
124,0.589557,0.71,-9999.99,2014,2,24,12,41,0.9629547471,12.873296397,383.33333333,484.85952759,-9999.99,-9999.99,101.52619425,-9999.99,1393256460.0
125,0.593025,0.71,-9999.99,2014,2,24,12,42,0.8710387324,10.557634955,417.0,502.84706421,-9999.99,-9999.99,85.847064209,-9999.99,1393256520.0
126,0.596482,0.76,-9999.99,2014,2,24,12,43,0.9543668122,12.05223717,416.66666667,549.81453451,-9999.99,-9999.99,133.14786784,-9999.99,1393256580.0
127,0.6135970000000001,0.98,0.31,2014,2,24,12,48,2.6461784977000002,0.1655173665,396.66666667,489.85606893,-9999.99,-9999.99,93.189402262,-9999.99,1393256880.0
128,0.6270819999999999,1.0,1.58,2014,2,24,12,52,-9999.99,0.0,390.0,499.84915161,-9999.99,-9999.99,109.84915161,-9999.99,1393257120.0
129,0.672772,1.0,9.82,2014,2,24,13,6,0.9955448301,12.327992835,450.83333333,634.7557373,-9999.99,-9999.99,183.92240397,-9999.99,1393257960.0
