SAT,WL(um),PW(cm),PHASE,COD,VZA(deg),SZA(deg),Reff(um),Topdown(W/m2),L30(W/m2/sr),L150(W/m2/sr),R30,R150
GOES13,3.9,6,water,50,10,5,20.5,3232.259,56.923172,81.66418457,0.055326450935469,0.079373466763187
GOES13,3.9,6,water,50,10,5,21.0,3232.259,54.95899582,78.94473267,0.05341737079757,0.076730296735405
GOES13,3.9,6,water,50,10,5,21.5,3232.259,53.098526,76.30888367,0.051609088008742,0.074168384507959
GOES13,3.9,6,water,50,10,5,22.0,3232.259,51.3335228,73.75627899,0.049893593957466,0.071687381559183
GOES13,3.9,6,water,50,10,5,22.5,3232.259,49.65699005,71.28708649,0.048264088719518,0.069287451040528
GOES13,3.9,6,water,50,10,5,23.0,3232.259,48.06182098,68.90094757,0.046713664873055,0.066968244410887
GOES13,3.9,6,water,50,10,5,23.5,3232.259,46.54283905,66.59773254,0.045237291082395,0.064729635618124
GOES13,3.9,6,water,50,10,5,24.0,3232.259,45.09434509,64.37665558,0.04382942804187,0.062570860884851
GOES13,3.9,6,water,50,10,5,24.5,3232.259,43.71193314,62.23678207,0.042485793380677,0.060491011807588
GOES13,3.9,6,water,50,10,5,25.0,3232.259,42.39100647,60.1771431,0.041201919309198,0.058489146654702
GOES13,3.9,6,water,50,10,5,25.5,3232.259,41.12828064,58.19590759,0.039974613517482,0.056563485708829
GOES13,3.9,6,water,50,10,5,26.0,3232.259,39.91965866,56.29130936,0.038799893937976,0.054712312332126
GOES13,3.9,6,water,50,10,5,26.5,3232.259,38.7624321,54.46216965,0.037675128113382,0.052934480829352
GOES13,3.9,6,water,50,10,5,27.0,3232.259,37.65350342,52.70585632,0.036597305391118,0.05122743289324
GOES13,3.9,6,water,50,10,5,27.5,3232.259,36.59009552,51.02053452,0.035563726570111,0.049589385142174
GOES13,3.9,6,water,50,10,5,28.0,3232.259,35.56962967,49.40381622,0.03457188525492,0.048018016531489
GOES13,3.9,6,water,50,10,5,28.5,3232.259,34.59010696,47.85354996,0.033619838605886,0.046511235950624
GOES13,3.9,6,water,50,10,5,29.0,3232.259,33.64899063,46.36694336,0.03270512102029,0.045066329347119
