CloudFraction,Count,Time
0.016170212765957447,94.0,2014-09-30 04:20:06.346241000
0.22268199233716476,261.0,2014-09-30 04:20:14.568294000
0.21556135770234988,383.0,2014-09-30 16:43:16.967335000
1.0,192.0,2014-10-01 05:03:03.689570000
0.8241666666666667,48.0,2014-10-01 15:48:14.022893000
0.5436190476190476,210.0,2014-10-02 04:07:59.520113000
1.0,487.0,2014-10-02 16:31:04.235490000
1.0,331.0,2014-10-03 04:50:51.146862000
1.0,18.0,2014-10-03 17:13:55.016861000
1.0,122.0,2014-10-04 03:55:46.197614000
0.9809326424870466,386.0,2014-10-04 16:18:51.282630000
1.0,473.0,2014-10-05 04:38:37.962542000
0.8107602339181287,171.0,2014-10-05 17:01:42.167301000
0.7313793103448276,232.0,2014-10-06 16:06:38.145149000
1.0,433.0,2014-10-07 04:26:24.239850000
0.8049333333333334,300.0,2014-10-07 16:49:28.414968000
1.0,150.0,2014-10-08 05:09:14.763718000
0.8950375939849624,133.0,2014-10-08 15:54:24.938382000
1.0,276.0,2014-10-09 04:14:10.138183000
0.9683700440528635,454.0,2014-10-09 16:37:14.452839000
1.0,253.0,2014-10-10 04:57:00.965019000
1.0,159.0,2014-10-11 04:01:55.584587000
0.9614004376367614,457.0,2014-10-11 16:25:00.233096000
1.0,1.0,2014-10-11 16:25:09.745626000
0.9927450980392157,408.0,2014-10-12 04:44:46.759678000
1.0,132.0,2014-10-12 17:07:50.905053000
1.0,306.0,2014-10-13 16:12:45.928088000
0.9804115226337449,486.0,2014-10-14 04:32:32.090168000
0.28873362445414846,229.0,2014-10-14 16:55:35.997014000
1.0,108.0,2014-10-15 05:15:21.456601000
1.0,176.0,2014-10-15 16:00:31.649204000
0.9933333333333333,6.0,2014-10-16 04:20:08.247554000
0.9842285714285715,350.0,2014-10-16 04:20:17.199030000
1.0,381.0,2014-10-16 16:43:20.992797000
0.9181151832460733,191.0,2014-10-17 05:03:07.118982000
0.9082352941176471,51.0,2014-10-17 15:48:16.991012000
1.0,208.0,2014-10-18 04:08:01.641868000
0.968559670781893,486.0,2014-10-18 16:31:05.885684000
1.0,330.0,2014-10-19 04:50:52.180681000
0.93,16.0,2014-10-19 17:13:54.669402000
1.0,121.0,2014-10-20 03:55:46.039707000
0.6926424870466321,386.0,2014-10-20 16:18:50.578257000
0.3804237288135593,472.0,2014-10-21 04:38:36.624751000
0.8932571428571429,175.0,2014-10-21 17:01:40.432789000
0.21275862068965515,232.0,2014-10-22 16:06:35.040370000
1.0,432.0,2014-10-23 04:26:20.566193000
0.9778073089700996,301.0,2014-10-23 16:49:24.156308000
1.0,149.0,2014-10-24 05:09:09.699093000
0.9290225563909774,133.0,2014-10-24 15:54:19.451004000
1.0,272.0,2014-10-25 04:14:04.006566000
0.9226373626373626,455.0,2014-10-25 16:37:07.764420000
1.0,159.0,2014-10-27 04:01:46.951887000
1.0,456.0,2014-10-27 16:24:51.059114000
1.0,412.0,2014-10-28 04:44:36.817645000
0.7603007518796993,133.0,2014-10-28 17:07:40.466576000
0.24272727272727274,484.0,2014-10-30 04:32:19.636426000
0.28526315789473683,228.0,2014-10-30 16:55:23.131994000
1.0,58.0,2014-10-31 05:15:04.147032000
0.1976608187134503,171.0,2014-10-31 16:00:18.008879000
0.25384615384615383,286.0,2014-11-01 04:20:01.363671000
0.1528358208955224,67.0,2014-11-01 04:20:09.564114000
0.9446875,384.0,2014-11-01 16:43:06.412807000
1.0,193.0,2014-11-02 05:02:52.148312000
0.9953488372093023,43.0,2014-11-02 15:48:01.894928000
0.8942307692307692,208.0,2014-11-03 04:07:45.886124000
0.566817248459959,487.0,2014-11-03 16:30:49.550249000
0.9957014925373134,335.0,2014-11-04 04:50:35.400525000
1.0,23.0,2014-11-04 17:13:39.287938000
1.0,118.0,2014-11-05 03:55:28.030586000
0.9987368421052633,380.0,2014-11-05 16:18:32.536003000
1.0,475.0,2014-11-06 04:38:18.105902000
