Long_LW_CloudFraction,Long_SW_CloudFraction,Time,XL_CloudAlbedo,XL_CloudAlbedoCorrected,XL_CloudFraction,XL_CloudFractionCorrected,TSI_CloudFraction,Lidar_CloudFraction
0.63,1.0,2014-03-08 16:45:00,0.6915162145756625,0.6110079812923476,0.9971770644188168,1.1285680874250932,0.997565,0.97408
0.63,1.0,2014-03-08 16:55:00,0.6677052388675536,0.5902471122817268,0.994986891747204,1.1255590182490405,0.997389,0.889175
0.63,1.0,2014-03-08 17:05:00,0.6478774876099965,0.5730639103831713,0.9941224455838494,1.1239052760989985,0.99727,0.893471
0.63,1.0,2014-03-08 17:15:00,0.6492670710917514,0.5747127460000104,0.99544125795407,1.124574379973323,0.997072,0.893471
0.63,1.0,2014-03-08 17:25:00,0.6765130176686488,0.5993444402056093,0.9959581494333468,1.1241927144826638,0.997412,0.964047
0.63,1.0,2014-03-08 17:35:00,0.6981795224032138,0.619149372015154,0.9978179335594264,1.1251825161842062,0.996416,0.938963
0.89,1.0,2014-03-08 17:45:00,0.6954768665609432,0.6174382019328759,0.9971485137939584,1.1231791646489604,0.996629,0.926483
0.84,1.0,2014-03-08 17:55:00,0.7130431170309158,0.6338153652510601,0.997202396392823,1.1218540035756073,0.996897,0.949313
1.0,1.0,2014-03-08 18:05:00,0.7282798687059496,0.6482377382024029,0.9969907402992249,1.1200956727074356,0.996932,0.96134
1.0,1.0,2014-03-08 18:15:00,0.7310139948397794,0.651632457222794,0.9974341392517088,1.118941063542934,0.996936,0.925258
0.84,1.0,2014-03-08 18:25:00,0.7234780884631191,0.6459433256236059,0.997482180595398,1.1172133415829963,0.996141,0.912281
0.89,1.0,2014-03-08 18:35:00,0.7127564415119968,0.6374587077349202,0.9966560006141671,1.114382744779655,0.995824,0.894737
0.63,1.0,2014-03-08 18:45:00,0.7105123101240349,0.6366095588274363,0.9969660043716442,1.1127018265103328,0.995902,0.918896
0.63,1.0,2014-03-08 18:55:00,0.7275256290681671,0.6531124837475746,0.9977745413780214,1.1114571669476876,0.996221,0.933849
0.63,1.0,2014-03-08 21:05:00,0.6599672341713516,0.6125858257957261,0.9982547760010841,1.075466352261744,0.993508,0.399828
0.63,1.0,2014-03-08 21:15:00,0.6595290250901886,0.6140536950350058,0.9978197216988748,1.0717158346067863,0.991871,0.406357
0.63,1.0,2014-03-08 21:25:00,0.6434374413818882,0.6009331692420542,0.9980916380891016,1.0686871065658032,0.990944,0.570711
0.63,--,2014-03-08 21:35:00,0.6166666965389664,0.5777432727900986,0.9972900152384412,1.0644789271511268,0.991038,0.445652
0.55,--,2014-03-08 21:45:00,0.576251490035231,0.5415962336719925,0.9977876552183248,1.061633348444854,0.99344,0.244351
0.43,--,2014-03-08 21:55:00,,,,,0.951942,0.0911436
0.36,--,2014-03-08 22:05:00,,,,,--,0.0180723
0.0,--,2014-03-09 10:15:00,,,,,--,0.0
0.0,--,2014-03-09 10:25:00,,,,,0.427912,0.0
0.0,--,2014-03-09 10:35:00,,,,,0.677464,0.0
0.0,--,2014-03-09 10:45:00,0.28563235601738257,0.26829202621385645,0.9761834354928346,1.0392764127947096,0.878214,0.0
0.0,--,2014-03-09 10:55:00,0.32964588154660723,0.3086534835325085,0.9866397935637352,1.053743961661863,0.914413,0.0
0.0,0.95,2014-03-09 11:05:00,0.2629794027186597,0.2454615972048673,0.8653626217740861,0.927120771642604,0.921741,0.0
0.0,0.94,2014-03-09 11:15:00,,,,,0.94338,0.0
0.0,0.88,2014-03-09 11:25:00,,,,,0.934108,0.0
0.0,0.84,2014-03-09 11:35:00,,,,,0.933963,0.0434419
0.13,0.88,2014-03-09 11:45:00,0.22501457560814764,0.2075033580482468,0.6714412389907698,0.7281041948351901,0.917492,0.211362
0.75,1.0,2014-03-09 11:55:00,0.5181805138209629,0.4764804747166907,0.9958086067127973,1.0829585741169911,0.994312,0.421821
0.79,1.0,2014-03-09 12:05:00,0.4228213483665981,0.387703282664491,0.9925846020719354,1.0824926653488385,0.980392,0.637768
0.8,1.0,2014-03-09 12:15:00,0.3812923546452833,0.3486665092413184,0.9831211060370656,1.0751149063270171,0.9933,0.778541
0.82,1.0,2014-03-09 12:25:00,0.4567993990368931,0.4166010106022714,0.9881456427219296,1.0834931367635066,0.995488,0.854758
0.68,0.94,2014-03-09 12:35:00,0.4451304497871688,0.4049111746529723,0.9579426735634248,1.053093813770546,0.968935,0.857978
0.57,1.0,2014-03-09 12:45:00,0.3696527477761137,0.3354137920377515,0.944605905251533,1.0410310390649409,0.990541,0.746032
0.32,1.0,2014-03-09 12:55:00,0.2691008447744029,0.2435876434727024,0.7413991057926332,0.8190527353500289,0.966321,0.663519
0.64,1.0,2014-03-09 13:05:00,0.3083656158962213,0.2784836148626146,0.8984886700738771,0.9948987923752444,0.997117,0.534764
0.36,0.68,2014-03-09 13:15:00,0.4486038073589404,0.40423343981468,0.6662605387784644,0.7393921060218626,0.991155,0.479828
0.45,0.89,2014-03-09 13:25:00,0.07918882728841456,0.07120530335251939,0.6776548766808906,0.7536334017841977,0.996387,0.527151
0.36,1.0,2014-03-09 13:35:00,0.29817617995875645,0.2675750016967817,0.7665590747124889,0.8542264978456621,0.997225,0.690058
0.34,0.88,2014-03-09 13:45:00,,,,,0.996364,0.884712
0.43,0.99,2014-03-09 13:55:00,0.33946910679479503,0.3035021823662342,0.7789150276658964,0.8712213752443922,0.994154,0.747639
0.38,0.73,2014-03-09 14:05:00,0.5111820019402281,0.456251662456105,0.8476297536392821,0.9496799902863188,0.996481,0.658369
0.18,0.59,2014-03-09 14:15:00,0.5900913956684116,0.5258545884572474,0.8722633125497923,0.978816362528908,0.985639,0.427468
0.0,0.58,2014-03-09 14:25:00,0.5806817220378967,0.5167175510906857,0.8143229489109703,0.9151275223194644,0.984201,0.391813
0.27,0.58,2014-03-09 14:35:00,0.5422849222534719,0.4819072100438538,0.6983664716590989,0.7858641661609977,0.945137,0.324979
0.38,0.75,2014-03-09 14:45:00,0.36005591077295707,0.31958010739306275,0.581818361845414,0.6555074465915517,0.951186,0.398496
0.48,0.77,2014-03-09 14:55:00,0.2873224969906582,0.2547459006924089,0.5272305210420727,0.5946521195581622,0.973129,0.575966
0.59,0.79,2014-03-09 15:05:00,0.4163009071728151,0.3687459711799049,0.6912615359236103,0.7804093522103134,0.993322,0.584549
0.41,0.66,2014-03-09 15:15:00,,,,,0.993863,0.692704
0.68,0.84,2014-03-09 15:25:00,0.3307104343329901,0.2924818089895499,0.6822740310245899,0.7714501695465232,0.993573,0.55912
0.38,0.66,2014-03-09 15:35:00,,,,,0.992365,0.688645
0.38,0.67,2014-03-09 15:45:00,0.4287861915021032,0.3788329152762377,0.5810257235285544,0.6576403398709371,0.993121,0.567766
0.23,0.5,2014-03-09 15:55:00,0.4641401652791641,0.4099390394885049,0.4559127977619426,0.5161924601524757,0.997319,0.478112
0.32,0.56,2014-03-09 16:05:00,0.3124487576256735,0.2759111689281209,0.3784364163294962,0.4285509302933187,0.996235,0.213918
0.18,0.42,2014-03-09 16:15:00,0.1400509697737587,0.12366710615463687,0.2455288717465696,0.27805742096500546,0.996306,0.088488
